YEAR	COUNTY_DISTRICT_CODE	DISTRICT_NAME	SCHOOL_CODE	SCHOOL_NAME	DROPOUT_9_12_COHORT	GRADUATES	GRADUATES_PCT	DROPOUT_9_12_COHORT_ASIAN	GRADUATES_ASIAN	GRADUATES_ASIAN_PCT	DROPOUT_9_12_COHORT_BLACK	GRADUATES_BLACK	GRADUATES_BLACK_PCT	DROPOUT_9_12_COHORT_HISPANIC	GRADUATES_HISPANIC	GRADUATES_COHORT_HISPANIC	DROPOUT_9_12_COHORT_INDIAN	GRADUATES_INDIAN	GRADUATES_INDIAN_PCT	DROPOUT_9_12_COHORT_WHITE	GRADUATES_WHITE	GRADUATES_WHITE_PCT	dropout_9_12_cohort_pacific_islander	graduates_pacific_islander	graduates_pi_pct	dropout_9_12_cohort_multiracial	graduates_multiracial	graduates_mr_pct	DROPOUT_9_12_COHORT_asian_pacific_islander	graduates_asian_pacific_islander	GRADUATES_api_PCT
2002	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	0	0	0									
2003	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	0	0	0	0	0		0	0	0	*	0	0									
2004	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	0	0	0	0	0		0	0	0	*	0	0									
2005	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0									
2006	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0									
2007	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0									
2008	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2009	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	6	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2011	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	10	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2012	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	6	0	0	0	0	0	*	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2013	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0		0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2014	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2015	010093	COLUMBIA 93	1015	JUVENILE JUSTICE CTR.	*	0	0	0	0	0	*	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0
2002	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	69	55	44.4	*	*	33.3	30	26	46.4	*	*		0	0	0	36	27	42.9									
2003	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	46	44	48.9	*	0	0	19	14	42.4	0	0		0	0	0	25	30	54.5									
2004	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	53	53	50	0	0	0	26	27	50.9	0	0		0	0	0	27	26	49.1									
2005	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	58	55	48.7	*	0	0	22	17	43.6	0	*		0	0	0	35	36	50.7									
2006	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	47	40	46	0	0	0	22	19	46.3	0	0		*	*	50	24	20	45.5									
2007	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	36	56	60.9	0	0	0	12	22	64.7	0	0		0	0	0	24	34	58.6									
2008	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	64	60	48.4	0	0	0	31	27	46.6	*	*		*	0	0	31	31	50	0	0	0	0	0	0	0	0	0
2009	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	56	39	41.1	0	*	100	27	21	43.8	0	0		*	0	0	28	16	36.4	0	0	0	0	0	0	0	*	100
2010	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	49	45	47.9	0	0	0	33	30	47.6	0	*		*	*	50	15	11	42.3	0	0	0	0	0	0	0	0	0
2011	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	49	22	31	*	0	0	24	12	33.3	*	0	0	0	0	0	21	10	32.3	0	0	0	0	0	0	*	0	0
2012	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	55	45	45	0	0	0	31	20	39.2	*	*	*	*	0	0	18	18	50	0	0	0	*	*	40	0	0	0
2013	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	51	68	57.1	*	0	0	29	43	59.7	*	*	*	*	*	50	15	19	55.9	0	0	0	*	*	50	*	0	0
2014	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	36	93	72.1	0	6	100	18	43	70.5	*	*	*	0	*	100	15	33	68.8	0	0	0	*	8	88.9	0	6	100
2015	010093	COLUMBIA 93	1020	FREDERICK DOUGLASS HIGH	26	109	80.7	0	*	100	13	43	76.8	*	*	*	*	0	0	10	53	84.1	0	0	0	*	*	83.3	0	*	100
2002	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	128	635	83.2	*	39	90.7	43	80	65	*	10		*	0	0	77	506	86.8									
2003	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	114	612	84.3	*	19	86.4	28	103	78.6	7	8		0	0	0	76	482	86.4									
2004	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	106	639	85.8	0	25	100	28	93	76.9	*	11		0	*	100	77	508	86.8									
2005	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	119	586	83.1	*	28	96.6	33	85	72	*	11		0	*	100	83	460	84.7									
2006	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	80	564	87.6	*	29	96.7	32	116	78.4	*	16		0	*	100	42	401	90.5									
2007	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	90	619	87.3	*	30	96.8	43	139	76.4	6	13		0	*	100	40	436	91.6									
2008	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	87	605	87.4	*	26	96.3	33	132	80	6	20		*	*	66.7	46	425	90.2	0	0	0	0	0	0	*	26	96.3
2009	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	93	641	87.3	*	41	95.3	36	136	79.1	*	30		0	*	100	52	430	89.2	0	0	0	0	0	0	*	41	95.3
2010	010093	COLUMBIA 93	1050	COLUMBIA-HICKMAN HIGH	90	614	87.2	*	20	87	42	163	79.5	*	23		0	*	100	42	406	90.6	0	0	0	0	0	0	*	20	87
2011	010093	COLUMBIA 93	1050	DAVID H. HICKMAN HIGH	77	592	88.5	0	21	100	25	126	83.4	6	27	24	0	*	100	46	386	89.4	0	0	0	0	29	100	0	21	100
